(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(~F <=> ~H) & (~C ^ I) & E & (~F <=> ~H) & (~D <=> ~C) & ~C & ~C & ~C & (~D <=> ~C) & (~C ^ I) & (~C ^ I) & (~D <=> ~C) . What is ~D ?	(~F <=> ~H) & (~C ^ I) & E & (~D <=> ~C) & ~C . What is ~D ?	(~F <=> ~H) & (~C ^ I) & E & (~D <=> ~C) & ~C	True
(~J & ~F) & (~A & I) & (~A & I) & ~B & ~B & (I | C) & (I | C) & (I | C) & ~B & ~H & ~H & ~H . What is ~A ?	(~J & ~F) & (~A & I) & ~B & (I | C) & ~H . What is ~A ?	(~J & ~F) & (~A & I) & ~B & (I | C) & ~H	True
(A & ~E) & (~B <=> A) & (~B <=> A) & (F <=> ~I) & ~F & (A & ~E) & (A & ~E) & ~F & ~F & (~D ^ ~B) & (~B <=> A) & (~D ^ ~B) & (~D ^ ~B) . What is E ?	(A & ~E) & (~B <=> A) & (F <=> ~I) & ~F & (~D ^ ~B) . What is E ?	(A & ~E) & (~B <=> A) & (F <=> ~I) & ~F & (~D ^ ~B)	False
D & D & D & (~A | D) & (F ==> E) & (~A | D) & ~E & ~E & (~A | D) . What is ~D ?	D & (~A | D) & (F ==> E) & ~E . What is ~D ?	D & (~A | D) & (F ==> E) & ~E	False
(A & ~G) & (~B & C) & (J <=> ~F) & E & ~H & (~G | ~B) & E & E & (~G | ~B) & (~G | ~B) . What is ~G ?	(A & ~G) & (~B & C) & (J <=> ~F) & E & ~H & (~G | ~B) . What is ~G ?	(A & ~G) & (~B & C) & (J <=> ~F) & E & ~H & (~G | ~B)	True
~C & ~G & ~C & (~G ==> ~A) & (~G ==> ~A) & ~G & (I ^ ~C) & (E & I) & (I ^ ~C) & ~G . What is ~I ?	~C & ~G & (~G ==> ~A) & (I ^ ~C) & (E & I) . What is ~I ?	~C & ~G & (~G ==> ~A) & (I ^ ~C) & (E & I)	Contradictory
(C & ~E) . What is ~C ?	(C & ~E) . What is ~C ?	(C & ~E)	False
(~I ==> J) & (A & ~G) & F & (~I ==> J) & H & F & (~I ==> J) & F . What is ~H ?	(~I ==> J) & (A & ~G) & F & H . What is ~H ?	(~I ==> J) & (A & ~G) & F & H	False
G & (B ==> ~E) & G & G & ~E & ~E & ~E & (~F ==> ~H) & (~F ==> ~H) . What is G ?	G & (B ==> ~E) & ~E & (~F ==> ~H) . What is G ?	G & (B ==> ~E) & ~E & (~F ==> ~H)	True
~I & ~I & (~D <=> ~C) & (~I ==> ~D) & (~I ==> ~D) & (~I ==> ~D) . What is ~I ?	~I & (~D <=> ~C) & (~I ==> ~D) . What is ~I ?	~I & (~D <=> ~C) & (~I ==> ~D)	True
(D | ~C) & (~C | H) & ~D & (D | ~C) . What is ~J ?	(D | ~C) & (~C | H) & ~D . What is ~J ?	(D | ~C) & (~C | H) & ~D	Unknown HELP!
H . What is H ?	H . What is H ?	H	True
~G & ~G & ~G . What is G ?	~G . What is G ?	~G	False
(~F <=> ~D) & ~B & (~B | ~C) & (H & ~F) & (H & ~F) & (H & ~F) & (~B | ~C) . What is F ?	(~F <=> ~D) & ~B & (~B | ~C) & (H & ~F) . What is F ?	(~F <=> ~D) & ~B & (~B | ~C) & (H & ~F)	False
(H | ~F) & F . What is ~H ?	(H | ~F) & F . What is ~H ?	(H | ~F) & F	False
(~C & J) & (~C & J) & J & (~C & J) & J & J . What is E ?	(~C & J) & J . What is E ?	(~C & J) & J	Unknown HELP!
(A | ~F) & (B ^ A) & (~F <=> ~I) & C & (B ^ A) & C . What is ~C ?	(A | ~F) & (B ^ A) & (~F <=> ~I) & C . What is ~C ?	(A | ~F) & (B ^ A) & (~F <=> ~I) & C	False
~A . What is ~A ?	~A . What is ~A ?	~A	True
(~E | H) & (A <=> ~I) & (A <=> ~I) & (A <=> ~I) & (H & A) & (H & A) & (H & A) . What is E ?	(~E | H) & (A <=> ~I) & (H & A) . What is E ?	(~E | H) & (A <=> ~I) & (H & A)	Unknown HELP!
(A | B) & (B <=> ~G) & (A | B) & (E ^ A) & (B <=> ~G) & ~A & ~A & (E ^ A) & (B <=> ~G) . What is ~B ?	(A | B) & (B <=> ~G) & (E ^ A) & ~A . What is ~B ?	(A | B) & (B <=> ~G) & (E ^ A) & ~A	False
I & I . What is ~I ?	I . What is ~I ?	I	False
(~G & ~F) & (H <=> C) & J & (~G & ~F) & (H <=> C) & (J ^ A) & ~D & (C ==> J) & J & (H <=> C) & ~D & J . What is J ?	(~G & ~F) & (H <=> C) & J & (J ^ A) & ~D & (C ==> J) . What is J ?	(~G & ~F) & (H <=> C) & J & (J ^ A) & ~D & (C ==> J)	True
~C & ~C . What is C ?	~C . What is C ?	~C	False
~J & ~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
(A ^ C) & (C ^ I) & (~F | ~D) & (~F | ~D) & (I & J) & (I & J) & ~E & ~H & (I & J) & ~H & ~H . What is ~H ?	(A ^ C) & (C ^ I) & (~F | ~D) & (I & J) & ~E & ~H . What is ~H ?	(A ^ C) & (C ^ I) & (~F | ~D) & (I & J) & ~E & ~H	True
(~C | D) & (~C | D) & (D ^ ~E) & (J ==> ~C) & C & (D ^ ~E) & (J ==> ~C) . What is J ?	(~C | D) & (D ^ ~E) & (J ==> ~C) & C . What is J ?	(~C | D) & (D ^ ~E) & (J ==> ~C) & C	False
