(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
F & F . What is F ?	F . What is F ?	F	True
J & J . What is J ?	J . What is J ?	J	True
B & B . What is ~B ?	B . What is ~B ?	B	False
(~F & ~E) & ~C & (~H & ~F) & (~F & ~E) & (~H & ~F) & ~C & ~C & (~B ^ ~C) & (~B ^ ~C) & (~E | ~G) & (~E | ~G) & ~E & (~E | ~G) & ~E . What is F ?	(~F & ~E) & ~C & (~H & ~F) & (~B ^ ~C) & (~E | ~G) & ~E . What is F ?	(~F & ~E) & ~C & (~H & ~F) & (~B ^ ~C) & (~E | ~G) & ~E	False
(~F ^ ~A) & (~F ^ ~A) . What is G ?	(~F ^ ~A) . What is G ?	(~F ^ ~A)	Unknown HELP!
(~J | ~G) & (~H & ~I) & (~I ^ F) & A & A & (F ^ E) & (~I ^ F) & (~H & ~I) & (~I ^ F) & A . What is I ?	(~J | ~G) & (~H & ~I) & (~I ^ F) & A & (F ^ E) . What is I ?	(~J | ~G) & (~H & ~I) & (~I ^ F) & A & (F ^ E)	False
I . What is I ?	I . What is I ?	I	True
(B ==> ~J) & (~H ^ E) & (~J & ~H) & (~J & ~H) & (~H ^ E) & (~J & ~H) & (~H ^ E) . What is ~H ?	(B ==> ~J) & (~H ^ E) & (~J & ~H) . What is ~H ?	(B ==> ~J) & (~H ^ E) & (~J & ~H)	True
(~I <=> E) & (A & ~I) & (A & ~I) & (~I <=> E) & (A & ~I) . What is A ?	(~I <=> E) & (A & ~I) . What is A ?	(~I <=> E) & (A & ~I)	True
(~I & C) & (H ==> J) & ~J & (B & ~E) & G & (B & ~E) & (C <=> B) & (C <=> B) & (C <=> B) & G & G . What is I ?	(~I & C) & (H ==> J) & ~J & (B & ~E) & G & (C <=> B) . What is I ?	(~I & C) & (H ==> J) & ~J & (B & ~E) & G & (C <=> B)	False
(~I ^ B) & D & D & (~I ^ B) & D & (~I ^ B) & (B & ~H) & (D ^ ~G) & (D ^ ~G) & (B & ~H) . What is I ?	(~I ^ B) & D & (B & ~H) & (D ^ ~G) . What is I ?	(~I ^ B) & D & (B & ~H) & (D ^ ~G)	True
I . What is ~I ?	I . What is ~I ?	I	False
~A & (A & E) & (~J & C) & ~A & (A & E) & ~A & ~B & (A & E) & (~J & C) & ~B & ~B . What is B ?	~A & (A & E) & (~J & C) & ~B . What is B ?	~A & (A & E) & (~J & C) & ~B	Contradictory
(C ==> J) & C & (D | B) & (D | B) & (D | B) & C & C & B & B . What is ~B ?	(C ==> J) & C & (D | B) & B . What is ~B ?	(C ==> J) & C & (D | B) & B	False
(~C & ~I) & (~C & ~I) . What is ~I ?	(~C & ~I) . What is ~I ?	(~C & ~I)	True
(D | ~H) & (~I & D) & (D | ~H) & (~H | ~F) & (~H | ~F) & (~I & D) & (~I & D) & (~H | ~F) & (D | ~H) & ~H . What is ~I ?	(D | ~H) & (~I & D) & (~H | ~F) & ~H . What is ~I ?	(D | ~H) & (~I & D) & (~H | ~F) & ~H	True
(~B & ~C) & (~B & ~C) . What is C ?	(~B & ~C) . What is C ?	(~B & ~C)	False
~C . What is ~C ?	~C . What is ~C ?	~C	True
(~G & ~D) & (~G & ~D) & ~A . What is D ?	(~G & ~D) & ~A . What is D ?	(~G & ~D) & ~A	False
C & (I ==> ~G) & (~C & H) & (~G & E) & C & (~G & E) & (~G & E) & F & C & F & F & (I ==> ~G) & (A ==> I) & (A ==> I) . What is E ?	C & (I ==> ~G) & (~C & H) & (~G & E) & F & (A ==> I) . What is E ?	C & (I ==> ~G) & (~C & H) & (~G & E) & F & (A ==> I)	Contradictory
(~J ^ ~F) & (D & ~G) & ~J & (~G | ~H) & H & (~J ^ ~F) & (~J ^ ~F) & (~H ^ ~C) & H & H & ~J & ~J . What is D ?	(~J ^ ~F) & (D & ~G) & ~J & (~G | ~H) & H & (~H ^ ~C) . What is D ?	(~J ^ ~F) & (D & ~G) & ~J & (~G | ~H) & H & (~H ^ ~C)	True
(~A | F) & (J ==> B) & (J ==> B) & ~A & (B <=> ~A) & (B <=> ~A) & ~A & (~A | F) & (~A | F) & ~A . What is A ?	(~A | F) & (J ==> B) & ~A & (B <=> ~A) . What is A ?	(~A | F) & (J ==> B) & ~A & (B <=> ~A)	False
C & C & (~C & H) & (B ^ A) & (B ^ A) . What is ~A ?	C & (~C & H) & (B ^ A) . What is ~A ?	C & (~C & H) & (B ^ A)	Contradictory
~J & ~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
(~D ==> I) & (I & ~J) & (~J <=> E) & (~D ==> I) & (I & ~J) & (~D ==> I) & (~J <=> E) . What is E ?	(~D ==> I) & (I & ~J) & (~J <=> E) . What is E ?	(~D ==> I) & (I & ~J) & (~J <=> E)	True
(I & ~H) . What is H ?	(I & ~H) . What is H ?	(I & ~H)	False
(~J & ~A) & ~I & ~I & (~J & ~A) & (~I ==> ~C) & ~I & (B & ~J) & (B & ~J) & (~A ==> H) & (~A ==> H) & (B & ~J) . What is H ?	(~J & ~A) & ~I & (~I ==> ~C) & (B & ~J) & (~A ==> H) . What is H ?	(~J & ~A) & ~I & (~I ==> ~C) & (B & ~J) & (~A ==> H)	True
F & F . What is G ?	F . What is G ?	F	Unknown HELP!
(E & ~J) & (C <=> I) & (C <=> I) & (~J ==> ~A) & ~I & ~I & (~A ^ ~F) & H & (~J ==> ~A) & (~J ==> ~A) & (~A ^ ~F) . What is ~E ?	(E & ~J) & (C <=> I) & (~J ==> ~A) & ~I & (~A ^ ~F) & H . What is ~E ?	(E & ~J) & (C <=> I) & (~J ==> ~A) & ~I & (~A ^ ~F) & H	False
~F & (A ==> ~D) & ~F & (A ==> ~D) & (~J & ~C) & A & A & A . What is F ?	~F & (A ==> ~D) & (~J & ~C) & A . What is F ?	~F & (A ==> ~D) & (~J & ~C) & A	False
(G ==> E) & ~E & (~I | ~H) & I & (E ==> ~D) & ~E & (~I | ~H) & (G ==> E) & (G ==> E) & ~E & (~I | ~H) . What is D ?	(G ==> E) & ~E & (~I | ~H) & I & (E ==> ~D) . What is D ?	(G ==> E) & ~E & (~I | ~H) & I & (E ==> ~D)	Unknown HELP!
(B | ~G) & ~B & (B | ~G) & (~G ^ ~J) & (~G ^ ~J) & (B | ~G) & (~G ^ ~J) . What is ~J ?	(B | ~G) & ~B & (~G ^ ~J) . What is ~J ?	(B | ~G) & ~B & (~G ^ ~J)	False
~F & (~F ==> ~H) & (~H | ~J) & (~D & ~I) & ~F & (~H | ~J) & I & (~D & ~I) & (~D & ~I) & I . What is H ?	~F & (~F ==> ~H) & (~H | ~J) & (~D & ~I) & I . What is H ?	~F & (~F ==> ~H) & (~H | ~J) & (~D & ~I) & I	Contradictory
G . What is G ?	G . What is G ?	G	True
(G ^ ~I) & (H ==> F) & (H ==> F) & (~B & G) & ~J & ~D & ~D & (H ==> F) & (J | ~B) & ~D & (J | ~B) & (~B & G) & (~B & G) . What is ~I ?	(G ^ ~I) & (H ==> F) & (~B & G) & ~J & ~D & (J | ~B) . What is ~I ?	(G ^ ~I) & (H ==> F) & (~B & G) & ~J & ~D & (J | ~B)	False
C & (E ==> ~C) & C & (~G & E) & (~G & E) . What is ~E ?	C & (E ==> ~C) & (~G & E) . What is ~E ?	C & (E ==> ~C) & (~G & E)	Contradictory
E & E & (E | ~H) & E & (E | ~H) . What is ~E ?	E & (E | ~H) . What is ~E ?	E & (E | ~H)	False
(~I ==> C) & (C <=> G) & (~I ==> C) & (C <=> G) & (C <=> G) & I . What is I ?	(~I ==> C) & (C <=> G) & I . What is I ?	(~I ==> C) & (C <=> G) & I	True
(H & ~B) & I & I & (~B & I) & I & (~F ^ A) & (~B & I) & (H & ~B) & A & A & (H & ~B) & A . What is ~H ?	(H & ~B) & I & (~B & I) & (~F ^ A) & A . What is ~H ?	(H & ~B) & I & (~B & I) & (~F ^ A) & A	False
H & (B & ~F) & (B & ~F) & (A & H) & (A & H) . What is ~F ?	H & (B & ~F) & (A & H) . What is ~F ?	H & (B & ~F) & (A & H)	True
(G & J) & (F ^ G) & (F ^ G) & (F ^ G) & ~F . What is J ?	(G & J) & (F ^ G) & ~F . What is J ?	(G & J) & (F ^ G) & ~F	True
(~D & A) & (B <=> ~D) & (~D & A) & (~D & A) & (B <=> ~D) & (B <=> ~D) . What is D ?	(~D & A) & (B <=> ~D) . What is D ?	(~D & A) & (B <=> ~D)	False
F & (~J | ~E) & (~J | ~E) & (~J | ~E) . What is J ?	F & (~J | ~E) . What is J ?	F & (~J | ~E)	Unknown HELP!
G & G & (F ==> ~D) & (~H & ~A) & (~A & ~B) & (F ==> ~D) & (~H & ~A) . What is ~B ?	G & (F ==> ~D) & (~H & ~A) & (~A & ~B) . What is ~B ?	G & (F ==> ~D) & (~H & ~A) & (~A & ~B)	True
(A & ~I) & (B ^ ~C) & ~B & ~B & (D ==> ~G) & (~C <=> D) & J & J & J . What is D ?	(A & ~I) & (B ^ ~C) & ~B & (D ==> ~G) & (~C <=> D) & J . What is D ?	(A & ~I) & (B ^ ~C) & ~B & (D ==> ~G) & (~C <=> D) & J	True
