(I ==> ~H) & ~F & (I ==> ~H) & (F & I) & (F & I) & (F & I) . What is ~G ?	(I ==> ~H) & ~F & (F & I) . What is ~G ?	(I ==> ~H) & ~F & (F & I)	Contradictory
(~C & ~D) & (~C & ~D) & (F <=> ~C) . What is ~F ?	(~C & ~D) & (F <=> ~C) . What is ~F ?	(~C & ~D) & (F <=> ~C)	False
~D & ~D & ~D . What is D ?	~D . What is D ?	~D	False
(~C ^ ~I) & B & (~C ^ ~I) & B & B . What is B ?	(~C ^ ~I) & B . What is B ?	(~C ^ ~I) & B	True
(~G | B) & (B ==> D) & ~G . What is G ?	(~G | B) & (B ==> D) & ~G . What is G ?	(~G | B) & (B ==> D) & ~G	False
(C & D) & (C & D) & ~D & ~A & ~A & (~I ^ ~A) & ~A & (~I ^ ~A) & (~I ^ ~A) . What is ~H ?	(C & D) & ~D & ~A & (~I ^ ~A) . What is ~H ?	(C & D) & ~D & ~A & (~I ^ ~A)	Contradictory
(E ^ ~D) & (~I & B) & (~D ^ ~I) & (~I & B) . What is D ?	(E ^ ~D) & (~I & B) & (~D ^ ~I) . What is D ?	(E ^ ~D) & (~I & B) & (~D ^ ~I)	True
B . What is ~B ?	B . What is ~B ?	B	False
(~H & ~F) & (~A ==> ~H) & (~F ==> J) & (~A ==> ~H) & (~A ==> ~H) & (~H & ~F) & I & (~F ==> J) & (~H & ~F) & (~I <=> ~G) & I . What is F ?	(~H & ~F) & (~A ==> ~H) & (~F ==> J) & I & (~I <=> ~G) . What is F ?	(~H & ~F) & (~A ==> ~H) & (~F ==> J) & I & (~I <=> ~G)	False
~H & ~H & ~H & (I ==> ~H) & (I ==> ~H) . What is ~I ?	~H & (I ==> ~H) . What is ~I ?	~H & (I ==> ~H)	Unknown HELP!
~E . What is E ?	~E . What is E ?	~E	False
(E & ~J) & (E & ~J) & (H ==> E) & (H ==> E) & (~J ^ ~A) & (~J ^ ~A) & (~J ^ ~A) . What is ~J ?	(E & ~J) & (H ==> E) & (~J ^ ~A) . What is ~J ?	(E & ~J) & (H ==> E) & (~J ^ ~A)	True
(F ==> J) & (J & C) & (J & C) & (F ==> J) & (F ==> J) . What is J ?	(F ==> J) & (J & C) . What is J ?	(F ==> J) & (J & C)	True
~G . What is G ?	~G . What is G ?	~G	False
H . What is H ?	H . What is H ?	H	True
(~D | E) & (E ^ B) & B & J & (E ^ B) & (~F & ~C) & B & B & (~F & ~C) & (~D | E) & J & J & (E ^ B) . What is ~B ?	(~D | E) & (E ^ B) & B & J & (~F & ~C) . What is ~B ?	(~D | E) & (E ^ B) & B & J & (~F & ~C)	False
(B ==> ~E) & (B ==> ~E) & (B ==> ~E) . What is B ?	(B ==> ~E) . What is B ?	(B ==> ~E)	Unknown HELP!
(H ^ ~B) & ~H & (~B ==> ~F) & (H ^ ~B) & (~B ==> ~F) & (H ^ ~B) & (~B ==> ~F) . What is F ?	(H ^ ~B) & ~H & (~B ==> ~F) . What is F ?	(H ^ ~B) & ~H & (~B ==> ~F)	False
