E & (~B ==> C) & E & (~E ^ ~G) & (~E ^ ~G) & E & (~E ^ ~G) & (~B ==> C) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G)	Unknown HELP!
(C <=> ~G) & (J | C) & ~C & (C <=> ~G) & (J | C) & (C <=> ~G) & (J | C) & ~C & (~A & J) & (~A & J) & (~A & J) . What is G ?	(C <=> ~G) & (J | C) & ~C & (~A & J) . What is G ?	(C <=> ~G) & (J | C) & ~C & (~A & J)	True
C & (C <=> ~I) & C . What is I ?	C & (C <=> ~I) . What is I ?	C & (C <=> ~I)	False
(B & ~D) & ~F & B & ~F & B & (H ==> ~F) & (H ==> ~F) & B . What is F ?	(B & ~D) & ~F & B & (H ==> ~F) . What is F ?	(B & ~D) & ~F & B & (H ==> ~F)	False
G & G & G . What is G ?	G . What is G ?	G	True
(~F & E) & (E & ~H) & (E & ~H) & (E & ~H) . What is ~E ?	(~F & E) & (E & ~H) . What is ~E ?	(~F & E) & (E & ~H)	False
(C & E) & ~J & (~I ^ ~J) & (~I ^ ~J) & (C & E) & (C & E) & (~I ^ ~J) . What is C ?	(C & E) & ~J & (~I ^ ~J) . What is C ?	(C & E) & ~J & (~I ^ ~J)	True
G & (D & ~J) & (G <=> ~I) & (D & ~J) & ~D & (~J & C) & (~J & C) & (G <=> ~I) . What is H ?	G & (D & ~J) & (G <=> ~I) & ~D & (~J & C) . What is H ?	G & (D & ~J) & (G <=> ~I) & ~D & (~J & C)	Contradictory
(~I & ~J) & (~J | ~C) & (~J | ~C) . What is I ?	(~I & ~J) & (~J | ~C) . What is I ?	(~I & ~J) & (~J | ~C)	False
(J ^ F) & (J ^ F) & (~E ^ ~D) & (~D & ~C) & F & (J ^ F) & (~E ^ ~D) & (~D & ~C) & (~E ^ ~D) . What is ~D ?	(J ^ F) & (~E ^ ~D) & (~D & ~C) & F . What is ~D ?	(J ^ F) & (~E ^ ~D) & (~D & ~C) & F	True
(~B | ~J) & (~B | ~J) & (~B | ~J) . What is ~B ?	(~B | ~J) . What is ~B ?	(~B | ~J)	Unknown HELP!
(D | ~F) & (D | ~F) & (A ==> ~B) & E & (D | ~F) & (A ==> ~B) & D & D & D . What is ~D ?	(D | ~F) & (A ==> ~B) & E & D . What is ~D ?	(D | ~F) & (A ==> ~B) & E & D	False
~J & ~I & (~C <=> I) & ~J & ~I & ~J & ~I & (~J & ~D) & (~J & ~D) & (~J & ~D) . What is ~J ?	~J & ~I & (~C <=> I) & (~J & ~D) . What is ~J ?	~J & ~I & (~C <=> I) & (~J & ~D)	True
(E & F) & D & D & (D & E) & (D & E) & (F | ~A) & (F | ~A) & (F | ~A) . What is ~D ?	(E & F) & D & (D & E) & (F | ~A) . What is ~D ?	(E & F) & D & (D & E) & (F | ~A)	False
(F <=> G) & (F <=> G) & C . What is ~C ?	(F <=> G) & C . What is ~C ?	(F <=> G) & C	False
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(~A <=> G) & ~G & (~H | I) & ~I & ~I & ~G & ~I & ~G . What is G ?	(~A <=> G) & ~G & (~H | I) & ~I . What is G ?	(~A <=> G) & ~G & (~H | I) & ~I	False
(~F <=> ~I) & ~B & ~F & (~B & ~C) & (J & ~F) & (~B & ~C) & (~I & H) & ~B & ~B & (~I & H) & (~I & H) & (~B & ~C) & ~F . What is ~J ?	(~F <=> ~I) & ~B & ~F & (~B & ~C) & (J & ~F) & (~I & H) . What is ~J ?	(~F <=> ~I) & ~B & ~F & (~B & ~C) & (J & ~F) & (~I & H)	False
~E & ~E . What is E ?	~E . What is E ?	~E	False
J & J & J . What is ~J ?	J . What is ~J ?	J	False
A . What is A ?	A . What is A ?	A	True
~J & (I | J) & (I | J) & ~J & ~J & (~G ==> B) & ~G & ~G & (~G ==> B) . What is ~J ?	~J & (I | J) & (~G ==> B) & ~G . What is ~J ?	~J & (I | J) & (~G ==> B) & ~G	True
(~E & A) & (~I ^ G) & (G | ~E) & (~I ^ G) & (~I ^ G) . What is A ?	(~E & A) & (~I ^ G) & (G | ~E) . What is A ?	(~E & A) & (~I ^ G) & (G | ~E)	True
(~C & D) & ~C & (D <=> ~J) & (H ^ ~G) & (H ^ ~G) & F & F & F & (D <=> ~J) & (D <=> ~J) . What is ~C ?	(~C & D) & ~C & (D <=> ~J) & (H ^ ~G) & F . What is ~C ?	(~C & D) & ~C & (D <=> ~J) & (H ^ ~G) & F	True
(~A ==> ~C) & ~F & ~F & ~F & (~A ==> ~C) & (~A ==> ~C) . What is F ?	(~A ==> ~C) & ~F . What is F ?	(~A ==> ~C) & ~F	False
(~J ==> F) & ~J & (F <=> H) & C & (~B ==> ~G) & (~B ==> ~G) & C & (~J ==> F) . What is ~J ?	(~J ==> F) & ~J & (F <=> H) & C & (~B ==> ~G) . What is ~J ?	(~J ==> F) & ~J & (F <=> H) & C & (~B ==> ~G)	True
(~F ^ ~J) & (~D ==> ~H) & (~D ==> ~H) & (~H & ~F) & (~D ==> ~H) & (~F ^ ~J) & (~F ^ ~J) . What is F ?	(~F ^ ~J) & (~D ==> ~H) & (~H & ~F) . What is F ?	(~F ^ ~J) & (~D ==> ~H) & (~H & ~F)	False
~J & ~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
J . What is J ?	J . What is J ?	J	True
B & B . What is ~B ?	B . What is ~B ?	B	False
(A <=> I) & (A <=> I) & (~G & A) & (~G & A) . What is ~I ?	(A <=> I) & (~G & A) . What is ~I ?	(A <=> I) & (~G & A)	False
(B ==> ~F) & G & (~C <=> J) & C & (J ^ ~H) & (J ^ ~H) & (I ^ ~C) & (I ^ ~C) & (I ^ ~C) . What is H ?	(B ==> ~F) & G & (~C <=> J) & C & (J ^ ~H) & (I ^ ~C) . What is H ?	(B ==> ~F) & G & (~C <=> J) & C & (J ^ ~H) & (I ^ ~C)	False
(~C | ~G) & (~H ^ ~C) & (~H ^ ~C) & ~C & (~H ^ ~C) . What is ~C ?	(~C | ~G) & (~H ^ ~C) & ~C . What is ~C ?	(~C | ~G) & (~H ^ ~C) & ~C	True
J & (G & J) & A & J & (G & J) & (~H | A) . What is J ?	J & (G & J) & A & (~H | A) . What is J ?	J & (G & J) & A & (~H | A)	True
(F | B) & (B & ~I) & (~I <=> ~E) & (~I <=> ~E) & (F | B) & (B & ~I) & (F | B) . What is ~I ?	(F | B) & (B & ~I) & (~I <=> ~E) . What is ~I ?	(F | B) & (B & ~I) & (~I <=> ~E)	True
~I & ~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
(~F & ~A) & (H <=> G) & (H <=> G) & (H <=> G) & E . What is ~A ?	(~F & ~A) & (H <=> G) & E . What is ~A ?	(~F & ~A) & (H <=> G) & E	True
(C <=> A) & ~G & ~G & (C <=> A) & (A ==> ~B) & ~G & (~E <=> C) & (A ==> ~B) & (A ==> ~B) . What is G ?	(C <=> A) & ~G & (A ==> ~B) & (~E <=> C) . What is G ?	(C <=> A) & ~G & (A ==> ~B) & (~E <=> C)	False
(~G & J) & (I ==> ~B) & (I ==> ~B) & (J <=> I) & (I ==> ~B) & (J <=> I) & (J <=> I) . What is ~B ?	(~G & J) & (I ==> ~B) & (J <=> I) . What is ~B ?	(~G & J) & (I ==> ~B) & (J <=> I)	True
C & (G ==> C) & (C <=> ~D) & C & (G ==> C) & (G ==> C) . What is D ?	C & (G ==> C) & (C <=> ~D) . What is D ?	C & (G ==> C) & (C <=> ~D)	False
I & I & I . What is I ?	I . What is I ?	I	True
(~A & ~B) & (~A & ~B) & (~A & ~B) . What is B ?	(~A & ~B) . What is B ?	(~A & ~B)	False
~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(~F <=> ~H) & (~H <=> I) & (~H <=> I) & (I <=> A) & (J ==> G) & (~H <=> I) & (I <=> A) & H & ~C & H . What is I ?	(~F <=> ~H) & (~H <=> I) & (I <=> A) & (J ==> G) & H & ~C . What is I ?	(~F <=> ~H) & (~H <=> I) & (I <=> A) & (J ==> G) & H & ~C	False
(~I ^ A) & ~I & (~G ^ ~E) & (~C ^ ~G) & (~C ^ ~G) & (~G ^ ~E) & (~G ^ ~E) . What is G ?	(~I ^ A) & ~I & (~G ^ ~E) & (~C ^ ~G) . What is G ?	(~I ^ A) & ~I & (~G ^ ~E) & (~C ^ ~G)	Unknown HELP!
